typL,liczbaL,typS,liczbS,typP,liczbaP
artylerzysci,344,konnica,145,artylerzysci,29
artylerzysci,60,artylerzysci,119,konnica,249
artylerzysci,403,piechurzy,80,artylerzysci,125
konnica,47,artylerzysci,372,artylerzysci,164
artylerzysci,118,artylerzysci,235,piechurzy,136
piechurzy,378,konnica,149,piechurzy,30
piechurzy,200,artylerzysci,314,konnica,80
artylerzysci,227,konnica,116,piechurzy,77
konnica,374,artylerzysci,118,artylerzysci,20
artylerzysci,205,konnica,280,piechurzy,67
piechurzy,377,konnica,13,artylerzysci,108
konnica,352,artylerzysci,81,konnica,11
artylerzysci,357,piechurzy,84,piechurzy,4
konnica,485,piechurzy,3,piechurzy,14
konnica,161,konnica,218,artylerzysci,45
konnica,52,artylerzysci,363,konnica,106
artylerzysci,408,artylerzysci,120,artylerzysci,33
piechurzy,408,piechurzy,110,konnica,51
artylerzysci,57,artylerzysci,28,piechurzy,2
konnica,203,konnica,166,piechurzy,106
konnica,500,artylerzysci,2,artylerzysci,1
piechurzy,321,artylerzysci,79,artylerzysci,275
artylerzysci,344,piechurzy,188,piechurzy,98
konnica,258,konnica,19,artylerzysci,189
piechurzy,236,artylerzysci,338,piechurzy,16
artylerzysci,374,konnica,35,piechurzy,148
piechurzy,154,konnica,40,artylerzysci,358
konnica,247,artylerzysci,101,konnica,89
konnica,379,piechurzy,17,piechurzy,105
artylerzysci,386,konnica,180,artylerzysci,15
artylerzysci,439,piechurzy,134,konnica,23
artylerzysci,193,artylerzysci,235,konnica,50
piechurzy,17,piechurzy,420,konnica,68
konnica,228,artylerzysci,274,konnica,52
konnica,37,piechurzy,188,artylerzysci,266
artylerzysci,437,artylerzysci,173,artylerzysci,42
artylerzysci,238,artylerzysci,5,artylerzysci,55
piechurzy,368,artylerzysci,4,artylerzysci,119
artylerzysci,128,artylerzysci,342,artylerzysci,35
konnica,359,piechurzy,28,artylerzysci,105
artylerzysci,208,konnica,163,piechurzy,31
piechurzy,86,artylerzysci,129,piechurzy,134
artylerzysci,21,konnica,19,konnica,324
artylerzysci,176,artylerzysci,277,artylerzysci,129
piechurzy,386,artylerzysci,242,artylerzysci,88
konnica,124,konnica,132,artylerzysci,73
artylerzysci,43,piechurzy,99,artylerzysci,51
artylerzysci,58,artylerzysci,119,konnica,346
piechurzy,75,artylerzysci,336,piechurzy,75
artylerzysci,111,artylerzysci,210,konnica,105
konnica,55,artylerzysci,192,konnica,125
piechurzy,151,piechurzy,287,konnica,228
artylerzysci,288,artylerzysci,250,artylerzysci,89
artylerzysci,439,artylerzysci,167,artylerzysci,43
piechurzy,339,konnica,256,konnica,70
artylerzysci,14,konnica,320,piechurzy,93
piechurzy,309,artylerzysci,286,piechurzy,46
artylerzysci,322,artylerzysci,92,piechurzy,93
artylerzysci,163,konnica,2,artylerzysci,23
konnica,489,artylerzysci,7,artylerzysci,6
artylerzysci,430,konnica,81,konnica,61
artylerzysci,85,piechurzy,88,konnica,65
artylerzysci,500,konnica,94,piechurzy,11
konnica,108,piechurzy,121,piechurzy,135
piechurzy,430,artylerzysci,82,piechurzy,5
konnica,375,piechurzy,21,konnica,111
artylerzysci,438,konnica,80,artylerzysci,27
piechurzy,170,piechurzy,163,piechurzy,227
artylerzysci,93,konnica,99,piechurzy,261
piechurzy,225,piechurzy,250,piechurzy,5
artylerzysci,260,konnica,85,artylerzysci,192
piechurzy,421,artylerzysci,108,artylerzysci,60
artylerzysci,413,konnica,176,konnica,15
konnica,429,piechurzy,16,artylerzysci,7
piechurzy,287,konnica,322,artylerzysci,31
piechurzy,146,piechurzy,29,konnica,254
piechurzy,106,piechurzy,270,piechurzy,172
piechurzy,93,piechurzy,444,konnica,137
konnica,263,konnica,30,piechurzy,21
artylerzysci,320,artylerzysci,248,artylerzysci,28
konnica,221,konnica,141,piechurzy,97
artylerzysci,377,piechurzy,92,piechurzy,44
piechurzy,421,artylerzysci,110,piechurzy,189
artylerzysci,209,piechurzy,71,konnica,239
artylerzysci,398,artylerzysci,56,konnica,59
artylerzysci,13,artylerzysci,138,konnica,318
konnica,241,konnica,104,piechurzy,130
piechurzy,420,piechurzy,183,artylerzysci,83
piechurzy,327,konnica,162,piechurzy,161
artylerzysci,314,piechurzy,66,konnica,57
konnica,499,artylerzysci,3,piechurzy,1
konnica,243,piechurzy,159,artylerzysci,111
konnica,410,piechurzy,75,konnica,11
artylerzysci,327,piechurzy,121,artylerzysci,177
artylerzysci,440,konnica,59,piechurzy,101
piechurzy,116,piechurzy,163,piechurzy,134
konnica,301,konnica,176,piechurzy,3
artylerzysci,247,piechurzy,195,konnica,93
konnica,32,piechurzy,394,artylerzysci,87
konnica,261,artylerzysci,125,konnica,96
piechurzy,223,artylerzysci,234,konnica,119
artylerzysci,437,konnica,29,piechurzy,105
artylerzysci,258,konnica,165,piechurzy,9
artylerzysci,496,artylerzysci,69,konnica,45
piechurzy,230,piechurzy,362,piechurzy,96
konnica,293,artylerzysci,135,konnica,21
piechurzy,303,piechurzy,295,konnica,64
artylerzysci,460,konnica,157,piechurzy,2
artylerzysci,62,konnica,432,piechurzy,7
artylerzysci,298,konnica,106,artylerzysci,14
artylerzysci,183,artylerzysci,180,konnica,110
konnica,124,artylerzysci,329,artylerzysci,15
konnica,452,piechurzy,16,artylerzysci,34
artylerzysci,363,konnica,52,piechurzy,23
artylerzysci,104,artylerzysci,3,artylerzysci,223
piechurzy,169,konnica,382,artylerzysci,2
artylerzysci,306,piechurzy,205,konnica,77
artylerzysci,174,piechurzy,11,konnica,8
artylerzysci,311,konnica,259,piechurzy,9
konnica,57,konnica,401,piechurzy,37
konnica,188,konnica,134,artylerzysci,153
piechurzy,76,artylerzysci,393,artylerzysci,57
konnica,477,piechurzy,2,piechurzy,8
artylerzysci,199,artylerzysci,75,konnica,117
artylerzysci,494,artylerzysci,128,piechurzy,1
artylerzysci,299,artylerzysci,195,konnica,29
piechurzy,440,artylerzysci,277,konnica,53
konnica,483,artylerzysci,7,piechurzy,5
artylerzysci,317,konnica,225,piechurzy,30
artylerzysci,498,piechurzy,116,artylerzysci,24
konnica,297,artylerzysci,164,konnica,39
piechurzy,230,piechurzy,126,piechurzy,185
piechurzy,441,piechurzy,65,konnica,231
artylerzysci,385,artylerzysci,185,piechurzy,57
konnica,74,artylerzysci,370,artylerzysci,97
piechurzy,308,artylerzysci,30,artylerzysci,289
konnica,278,piechurzy,78,konnica,49
konnica,425,artylerzysci,34,piechurzy,26
piechurzy,316,piechurzy,248,piechurzy,192
piechurzy,402,piechurzy,62,piechurzy,227
artylerzysci,17,konnica,467,piechurzy,8
artylerzysci,171,konnica,304,konnica,17
artylerzysci,253,artylerzysci,155,artylerzysci,172
piechurzy,385,artylerzysci,164,artylerzysci,60
konnica,469,artylerzysci,14,artylerzysci,10
piechurzy,61,piechurzy,445,piechurzy,93
piechurzy,468,artylerzysci,261,piechurzy,59
konnica,269,konnica,62,piechurzy,58
artylerzysci,457,konnica,67,konnica,45
konnica,341,piechurzy,33,piechurzy,141
konnica,371,artylerzysci,40,konnica,53
piechurzy,305,artylerzysci,299,konnica,46
piechurzy,346,piechurzy,62,piechurzy,172
piechurzy,315,piechurzy,312,artylerzysci,170
konnica,288,piechurzy,74,artylerzysci,123
konnica,30,piechurzy,146,piechurzy,296
piechurzy,106,artylerzysci,209,konnica,40
piechurzy,263,konnica,284,piechurzy,57
konnica,19,piechurzy,175,piechurzy,250
artylerzysci,226,konnica,262,artylerzysci,48
piechurzy,98,piechurzy,449,artylerzysci,164
konnica,359,konnica,81,piechurzy,53
piechurzy,214,piechurzy,156,konnica,30
piechurzy,161,piechurzy,136,artylerzysci,334
konnica,199,piechurzy,179,artylerzysci,1
artylerzysci,296,artylerzysci,181,konnica,10
piechurzy,140,piechurzy,301,artylerzysci,48
piechurzy,59,konnica,45,piechurzy,88
konnica,352,piechurzy,89,artylerzysci,97
piechurzy,149,konnica,399,artylerzysci,17
piechurzy,428,piechurzy,229,piechurzy,173
piechurzy,68,konnica,109,konnica,168
artylerzysci,289,konnica,207,piechurzy,25
artylerzysci,141,konnica,249,artylerzysci,144
artylerzysci,325,artylerzysci,225,konnica,4
konnica,40,konnica,457,piechurzy,3
artylerzysci,452,konnica,137,artylerzysci,1
konnica,393,artylerzysci,10,piechurzy,82
konnica,17,piechurzy,456,konnica,11
piechurzy,298,artylerzysci,189,konnica,81
konnica,180,piechurzy,291,artylerzysci,128
konnica,33,piechurzy,251,piechurzy,332
piechurzy,397,piechurzy,93,konnica,215
piechurzy,373,piechurzy,113,piechurzy,196
piechurzy,105,konnica,199,piechurzy,136
artylerzysci,280,artylerzysci,131,artylerzysci,48
piechurzy,125,piechurzy,22,piechurzy,132
konnica,154,artylerzysci,42,piechurzy,282
konnica,143,piechurzy,157,artylerzysci,248
artylerzysci,74,konnica,128,piechurzy,299
artylerzysci,304,piechurzy,199,artylerzysci,43
piechurzy,25,piechurzy,307,piechurzy,108
piechurzy,74,artylerzysci,270,artylerzysci,249
artylerzysci,145,piechurzy,162,artylerzysci,97
piechurzy,88,konnica,72,piechurzy,141
konnica,482,konnica,4,piechurzy,6
artylerzysci,187,konnica,320,konnica,7
artylerzysci,311,artylerzysci,169,artylerzysci,108
konnica,136,konnica,91,konnica,228
artylerzysci,43,konnica,388,piechurzy,45
konnica,330,artylerzysci,6,piechurzy,145
konnica,389,artylerzysci,60,piechurzy,25
artylerzysci,101,artylerzysci,44,piechurzy,346
konnica,72,piechurzy,17,konnica,139
piechurzy,101,artylerzysci,408,artylerzysci,26
piechurzy,335,piechurzy,40,artylerzysci,215
konnica,303,artylerzysci,142,artylerzysci,89
artylerzysci,296,artylerzysci,154,piechurzy,80
piechurzy,32,konnica,237,konnica,48
artylerzysci,276,artylerzysci,106,konnica,172
konnica,215,piechurzy,231,konnica,122
piechurzy,80,piechurzy,110,konnica,46
artylerzysci,125,konnica,11,piechurzy,134
piechurzy,374,piechurzy,104,konnica,236
piechurzy,42,piechurzy,353,piechurzy,38
piechurzy,353,konnica,314,piechurzy,4
piechurzy,385,piechurzy,164,konnica,4
konnica,263,artylerzysci,140,piechurzy,114
piechurzy,199,piechurzy,402,piechurzy,97
konnica,306,piechurzy,110,konnica,31
konnica,379,konnica,68,konnica,47
artylerzysci,132,konnica,176,piechurzy,201
konnica,57,piechurzy,127,piechurzy,359
piechurzy,276,konnica,304,artylerzysci,4
artylerzysci,417,piechurzy,111,artylerzysci,109
konnica,484,konnica,18,artylerzysci,1
artylerzysci,427,konnica,37,artylerzysci,121
piechurzy,365,piechurzy,307,piechurzy,58
konnica,234,piechurzy,267,artylerzysci,110
artylerzysci,194,piechurzy,333,piechurzy,92
artylerzysci,47,konnica,157,artylerzysci,258
piechurzy,362,konnica,172,konnica,60
artylerzysci,122,konnica,46,artylerzysci,317
artylerzysci,406,konnica,76,piechurzy,118
artylerzysci,270,piechurzy,282,artylerzysci,90
konnica,208,artylerzysci,160,piechurzy,155
artylerzysci,415,artylerzysci,103,piechurzy,4
konnica,362,piechurzy,12,piechurzy,83
piechurzy,385,piechurzy,95,piechurzy,171
artylerzysci,423,artylerzysci,50,konnica,102
konnica,54,piechurzy,23,artylerzysci,347
artylerzysci,273,artylerzysci,222,artylerzysci,79
konnica,335,konnica,84,piechurzy,48
piechurzy,20,konnica,27,konnica,225
konnica,287,konnica,169,konnica,1
konnica,251,artylerzysci,45,konnica,210
konnica,448,artylerzysci,16,piechurzy,42
artylerzysci,449,artylerzysci,30,konnica,111
artylerzysci,398,artylerzysci,21,artylerzysci,166
artylerzysci,490,konnica,90,konnica,39
konnica,300,artylerzysci,191,konnica,55
konnica,367,piechurzy,38,piechurzy,1
konnica,133,piechurzy,9,piechurzy,257
artylerzysci,479,konnica,129,artylerzysci,12
konnica,163,artylerzysci,254,artylerzysci,57
piechurzy,300,artylerzysci,203,artylerzysci,154
piechurzy,103,konnica,214,artylerzysci,14
konnica,494,artylerzysci,4,artylerzysci,4
piechurzy,347,konnica,263,konnica,28
konnica,198,artylerzysci,43,konnica,237
piechurzy,445,konnica,229,artylerzysci,40
artylerzysci,251,konnica,292,piechurzy,5
konnica,395,piechurzy,48,piechurzy,23
artylerzysci,100,konnica,35,artylerzysci,334
artylerzysci,197,konnica,90,piechurzy,141
artylerzysci,167,piechurzy,155,piechurzy,187
konnica,75,piechurzy,390,artylerzysci,163
piechurzy,205,piechurzy,183,piechurzy,205
konnica,172,artylerzysci,6,artylerzysci,49
piechurzy,33,piechurzy,483,piechurzy,123
piechurzy,485,piechurzy,132,konnica,157
piechurzy,56,artylerzysci,158,konnica,202
piechurzy,130,konnica,134,piechurzy,291
artylerzysci,397,artylerzysci,50,konnica,159
artylerzysci,469,artylerzysci,80,artylerzysci,28
piechurzy,99,artylerzysci,227,konnica,179
piechurzy,15,konnica,264,piechurzy,89
artylerzysci,31,artylerzysci,91,artylerzysci,184
piechurzy,398,konnica,9,konnica,260
konnica,286,konnica,113,piechurzy,72
konnica,343,artylerzysci,77,artylerzysci,65
artylerzysci,438,artylerzysci,38,artylerzysci,26
artylerzysci,351,artylerzysci,87,artylerzysci,15
piechurzy,343,artylerzysci,283,piechurzy,101
piechurzy,51,konnica,294,konnica,37
konnica,54,konnica,300,artylerzysci,102
piechurzy,185,artylerzysci,405,konnica,42
artylerzysci,296,konnica,241,konnica,17
konnica,167,artylerzysci,254,artylerzysci,53
konnica,275,piechurzy,74,artylerzysci,174
artylerzysci,81,artylerzysci,45,konnica,236
artylerzysci,310,artylerzysci,71,artylerzysci,143
artylerzysci,394,artylerzysci,119,piechurzy,88
piechurzy,483,konnica,105,piechurzy,53
piechurzy,319,piechurzy,210,konnica,103
piechurzy,459,konnica,220,konnica,33
artylerzysci,150,piechurzy,298,artylerzysci,90
konnica,167,artylerzysci,38,artylerzysci,22
konnica,353,artylerzysci,104,artylerzysci,29
piechurzy,73,konnica,58,piechurzy,273
artylerzysci,88,konnica,331,artylerzysci,75
piechurzy,451,konnica,257,piechurzy,1
piechurzy,457,piechurzy,189,konnica,124
konnica,199,piechurzy,32,artylerzysci,97
piechurzy,190,artylerzysci,174,konnica,145
piechurzy,499,piechurzy,65,piechurzy,214
piechurzy,255,artylerzysci,254,konnica,60
piechurzy,495,piechurzy,125,piechurzy,169
piechurzy,217,konnica,42,piechurzy,26
artylerzysci,462,konnica,69,piechurzy,33
artylerzysci,391,piechurzy,96,piechurzy,91
piechurzy,13,piechurzy,345,piechurzy,158
artylerzysci,129,konnica,70,piechurzy,81
konnica,238,piechurzy,160,piechurzy,141
piechurzy,434,piechurzy,187,artylerzysci,50
artylerzysci,51,artylerzysci,452,artylerzysci,99
konnica,355,piechurzy,68,konnica,18
konnica,464,piechurzy,35,piechurzy,13
piechurzy,325,artylerzysci,85,artylerzysci,92
konnica,302,konnica,80,artylerzysci,68
konnica,240,artylerzysci,73,artylerzysci,30
artylerzysci,105,artylerzysci,391,konnica,83
piechurzy,142,artylerzysci,76,artylerzysci,221
piechurzy,100,konnica,339,konnica,18
artylerzysci,231,piechurzy,144,artylerzysci,92
piechurzy,460,konnica,203,artylerzysci,55
artylerzysci,479,artylerzysci,81,artylerzysci,28
piechurzy,344,konnica,66,piechurzy,173
konnica,24,artylerzysci,21,konnica,424
konnica,115,piechurzy,155,konnica,120
artylerzysci,372,konnica,42,konnica,43
konnica,426,artylerzysci,34,artylerzysci,15
konnica,422,artylerzysci,71,konnica,23
artylerzysci,28,konnica,267,konnica,48
konnica,199,piechurzy,24,artylerzysci,10
piechurzy,118,piechurzy,419,konnica,194
konnica,369,piechurzy,67,konnica,94
artylerzysci,147,piechurzy,353,konnica,163
piechurzy,387,konnica,200,artylerzysci,100
piechurzy,413,konnica,199,artylerzysci,3
artylerzysci,158,piechurzy,104,piechurzy,183
artylerzysci,16,konnica,346,konnica,29
konnica,169,konnica,14,artylerzysci,7
konnica,249,piechurzy,20,konnica,38
artylerzysci,62,konnica,175,artylerzysci,100
konnica,382,konnica,23,konnica,2
artylerzysci,138,konnica,296,artylerzysci,76
artylerzysci,334,piechurzy,153,konnica,8
konnica,426,konnica,38,artylerzysci,18
konnica,148,piechurzy,275,konnica,18
konnica,328,konnica,54,piechurzy,41
piechurzy,169,konnica,17,konnica,384
artylerzysci,386,artylerzysci,95,konnica,82
konnica,269,piechurzy,101,konnica,12
artylerzysci,421,konnica,4,artylerzysci,147
piechurzy,396,konnica,218,konnica,55
artylerzysci,218,artylerzysci,79,piechurzy,3
konnica,117,piechurzy,147,konnica,204
artylerzysci,191,piechurzy,217,konnica,29
konnica,364,artylerzysci,93,artylerzysci,50
artylerzysci,339,piechurzy,71,piechurzy,103
konnica,115,konnica,142,konnica,58
piechurzy,294,piechurzy,103,artylerzysci,112
konnica,412,artylerzysci,36,konnica,61
konnica,485,konnica,17,konnica,1
konnica,287,artylerzysci,97,piechurzy,30
piechurzy,154,konnica,421,piechurzy,2
piechurzy,315,artylerzysci,112,piechurzy,239
konnica,90,konnica,255,artylerzysci,113
artylerzysci,486,konnica,119,artylerzysci,14
artylerzysci,437,piechurzy,100,konnica,85
artylerzysci,379,artylerzysci,90,artylerzysci,19
konnica,246,piechurzy,1,piechurzy,234
konnica,19,piechurzy,212,konnica,103
konnica,152,konnica,159,konnica,70
konnica,346,konnica,154,piechurzy,1
konnica,10,piechurzy,45,piechurzy,344
artylerzysci,287,artylerzysci,208,piechurzy,125
piechurzy,157,konnica,239,piechurzy,41
piechurzy,290,artylerzysci,346,konnica,79
artylerzysci,408,artylerzysci,159,piechurzy,11
konnica,190,konnica,101,konnica,89
artylerzysci,41,artylerzysci,9,artylerzysci,386
artylerzysci,266,artylerzysci,104,konnica,46
konnica,164,konnica,307,piechurzy,17
konnica,294,konnica,5,piechurzy,130
piechurzy,302,piechurzy,77,konnica,4
konnica,188,konnica,105,konnica,78
piechurzy,217,artylerzysci,63,konnica,317
piechurzy,330,artylerzysci,309,piechurzy,67
piechurzy,481,konnica,164,piechurzy,56
piechurzy,482,konnica,104,artylerzysci,156
konnica,318,artylerzysci,156,konnica,12
piechurzy,222,konnica,346,artylerzysci,44
artylerzysci,367,artylerzysci,36,artylerzysci,40
konnica,105,artylerzysci,99,artylerzysci,229
konnica,3,piechurzy,240,piechurzy,364
piechurzy,159,artylerzysci,166,artylerzysci,177
artylerzysci,312,piechurzy,55,artylerzysci,31
artylerzysci,479,konnica,140,konnica,2
piechurzy,199,piechurzy,57,piechurzy,107
konnica,386,piechurzy,86,piechurzy,57
piechurzy,202,piechurzy,211,konnica,166
artylerzysci,479,artylerzysci,27,konnica,66
artylerzysci,245,piechurzy,279,piechurzy,112
konnica,216,piechurzy,170,konnica,153
konnica,176,piechurzy,217,konnica,146
artylerzysci,158,artylerzysci,73,piechurzy,216
artylerzysci,250,piechurzy,48,artylerzysci,155
konnica,333,konnica,41,konnica,18
piechurzy,274,konnica,167,artylerzysci,23
konnica,163,artylerzysci,270,konnica,68
artylerzysci,135,artylerzysci,310,piechurzy,21
artylerzysci,499,artylerzysci,103,piechurzy,17
piechurzy,300,artylerzysci,302,artylerzysci,30
piechurzy,262,artylerzysci,331,artylerzysci,20
artylerzysci,498,piechurzy,113,konnica,60
konnica,48,artylerzysci,175,konnica,51
piechurzy,479,konnica,21,artylerzysci,198
piechurzy,412,artylerzysci,40,piechurzy,61
artylerzysci,303,artylerzysci,49,piechurzy,199
piechurzy,23,konnica,250,konnica,11
piechurzy,160,konnica,303,piechurzy,23
piechurzy,386,konnica,39,artylerzysci,144
konnica,491,artylerzysci,3,piechurzy,4
artylerzysci,345,artylerzysci,161,piechurzy,28
konnica,89,konnica,131,piechurzy,27
artylerzysci,118,piechurzy,12,konnica,202
konnica,320,konnica,144,artylerzysci,4
konnica,203,artylerzysci,73,piechurzy,181
artylerzysci,308,konnica,253,konnica,18
artylerzysci,78,piechurzy,145,piechurzy,369
artylerzysci,152,artylerzysci,343,artylerzysci,39
piechurzy,298,konnica,172,artylerzysci,65
konnica,118,piechurzy,190,artylerzysci,246
artylerzysci,48,piechurzy,56,piechurzy,314
artylerzysci,422,piechurzy,64,piechurzy,53
piechurzy,373,artylerzysci,220,konnica,16
piechurzy,290,artylerzysci,19,piechurzy,92
konnica,220,konnica,115,konnica,105
konnica,323,konnica,97,piechurzy,66
konnica,152,konnica,92,artylerzysci,127
konnica,480,artylerzysci,6,piechurzy,17
konnica,40,piechurzy,357,konnica,238
artylerzysci,386,piechurzy,17,konnica,152
piechurzy,271,piechurzy,338,artylerzysci,59
piechurzy,275,konnica,333,piechurzy,12
artylerzysci,72,piechurzy,46,piechurzy,124
artylerzysci,487,piechurzy,133,artylerzysci,59
piechurzy,435,piechurzy,145,piechurzy,83
konnica,151,artylerzysci,228,piechurzy,32
piechurzy,305,artylerzysci,148,artylerzysci,82
artylerzysci,372,artylerzysci,213,piechurzy,51
konnica,127,piechurzy,98,konnica,260
artylerzysci,205,artylerzysci,20,konnica,212
konnica,192,konnica,44,konnica,70
piechurzy,496,konnica,143,piechurzy,93
piechurzy,30,artylerzysci,151,artylerzysci,265
artylerzysci,459,konnica,77,konnica,67
konnica,76,konnica,425,artylerzysci,1
piechurzy,143,konnica,331,artylerzysci,71
konnica,256,piechurzy,96,artylerzysci,8
artylerzysci,107,konnica,38,konnica,217
konnica,459,konnica,27,artylerzysci,1
piechurzy,26,piechurzy,355,piechurzy,64
piechurzy,483,konnica,230,artylerzysci,16
piechurzy,249,artylerzysci,261,konnica,66
konnica,341,konnica,5,konnica,99
konnica,24,piechurzy,226,konnica,296
konnica,159,piechurzy,241,piechurzy,209
artylerzysci,415,piechurzy,53,konnica,26
piechurzy,408,artylerzysci,294,artylerzysci,17
piechurzy,23,konnica,355,piechurzy,105
konnica,116,piechurzy,133,konnica,302
artylerzysci,470,piechurzy,144,piechurzy,18
piechurzy,313,konnica,214,konnica,21
artylerzysci,39,artylerzysci,337,konnica,113
artylerzysci,354,artylerzysci,81,artylerzysci,140
konnica,181,artylerzysci,249,artylerzysci,92
artylerzysci,460,piechurzy,154,artylerzysci,23
artylerzysci,93,konnica,397,piechurzy,33
konnica,401,piechurzy,75,konnica,21
artylerzysci,250,piechurzy,203,konnica,202
artylerzysci,77,artylerzysci,389,konnica,69
piechurzy,48,konnica,334,konnica,22
piechurzy,188,konnica,298,piechurzy,70
artylerzysci,412,piechurzy,31,konnica,145
